Hillary,Trump,total,county_name,state_abbreviation
13283,19221,34263,Madera County,CA
69518,14214,88115,Marin County,CA
3122,5185,8877,Mariposa County,CA
6905,3571,11435,Mendocino County,CA
21856,18486,42523,Merced County,CA
798,2413,3359,Modoc County,CA
2696,2080,5154,Mono County,CA
64733,26378,96676,Monterey County,CA
26161,11946,40393,Napa County,CA
16199,14686,33258,Nevada County,CA
556544,472669,1092116,Orange County,CA
61969,78977,150532,Placer County,CA
3224,5079,8830,Plumas County,CA
300686,279072,609869,Riverside County,CA
273768,163024,467526,Sacramento County,CA
8309,5530,14688,San Benito County,CA
304407,249103,585169,San Bernardino County,CA
567243,386807,1011651,San Diego County,CA
312443,34493,365295,San Francisco County,CA
71349,56194,134076,San Joaquin County,CA
61021,50755,120296,San Luis Obispo County,CA
192035,47627,251646,San Mateo County,CA
100120,53740,164224,Santa Barbara County,CA
483472,137452,659148,Santa Clara County,CA
85185,20158,113509,Santa Cruz County,CA
20471,47587,72554,Shasta County,CA
601,1048,1804,Sierra County,CA
7106,11212,19836,Siskiyou County,CA
94622,48712,152398,Solano County,CA
116027,37421,164060,Sonoma County,CA
73939,72960,156141,Stanislaus County,CA
11831,16780,30429,Sutter County,CA
6571,14981,22875,Tehama County,CA
1876,2409,4716,Trinity County,CA
27975,38062,69408,Tulare County,CA
8580,13486,23472,Tuolumne County,CA
170489,118764,307881,Ventura County,CA
34460,13178,50623,Yolo County,CA
7234,12313,21058,Yuba County,CA
86471,73807,175125,Adams County,CO
3168,3031,6897,Alamosa County,CO
148365,109638,281658,Arapahoe County,CO
2489,4234,7290,Archuleta County,CO
278,1716,2107,Baca County,CO
581,1166,1892,Bent County,CO
124715,38766,176735,Boulder County,CO
19530,14272,37342,Broomfield County,CO
4773,5283,10999,Chaffee County,CO
127,905,1076,Cheyenne County,CO
2585,2426,5532,Clear Creek County,CO
1753,1885,3970,Conejos County,CO
1109,581,1820,Costilla County,CO
336,1069,1511,Crowley County,CO
